carrier,component,node,item,2030,2040,2050,units,sector
AC,links,BA,battery charger0,-1.0187562465018518e-05,-4.827313749450838e-06,-4.2003993523162235e-06,TWh,
AC,links,BA,battery discharger1,9.16880663584936e-06,4.3445825883199445e-06,3.7803596966865153e-06,TWh,
AC,links,BA,coal1,1.7367003970890273e-06,5.064926196458648e-07,1.8343703362482141e-07,TWh,Coal/Lignite
AC,links,BA,electricity distribution grid0,-9.954474686270297,-6.704129207631803,-4.145813734065104,TWh,
AC,links,BA,helmeth0,-1.2084710802616265e-06,-4.84344287749732e-07,-3.92235593122358e-07,TWh,Methane production
AC,links,BA,methanolisation2,-2.0970557925417777e-05,-4.0116500864679945e-05,-2.319158803860674e-05,TWh,Methanol production
AC,links,BA,nuclear (SMR)1,1.707072231843043e-08,6.904964168798185e-09,3.0323526680029146e-09,TWh,Nuclear
AC,links,BA,nuclear1,2.5981890923908415e-06,1.948348134104306e-06,9.661576961050501e-07,TWh,Nuclear
AC,links,BA,oil1,5.531090988027563e-07,1.3372121927085412e-07,3.353662566709102e-08,TWh,Oil
AC,links,BA,solid biomass1,1.5668490323065403e-06,8.804873733528964e-07,4.016843124685395e-07,TWh,Solid Biomass
AC,links,BA,urban central gas CHP CC1,2.109759401957782e-06,8.217363668044983e-07,2.4294184881312115e-07,TWh,CHP
AC,links,BA,urban central gas CHP1,3.166049580932067e-06,1.3689696090884784e-06,3.6522584275525815e-07,TWh,CHP
AC,links,BA,urban central solid biomass CHP CC1,2.815811540980352e-06,1.3327531537422878e-06,1.4661452308826115e-06,TWh,CHP
AC,links,BA,urban central solid biomass CHP1,0.15194900892322824,0.17734117173315686,0.1982368466855871,TWh,CHP
AC,links,BE,CCGT1,15.67939846127863,10.395096419778024,1.4195346614420887,TWh,Gas
AC,links,BE,DAC2,-3.921842449796949e-07,-1.2505375225434174e-07,-1.076759525289298e-07,TWh,DAC
AC,links,BE,H2 Electrolysis0,-3.293719246471004e-06,-4.248432797633086e-06,-1.6877838802360447e-05,TWh,Hydrogen production
AC,links,BE,H2 Fuel Cell1,1.3377934523762974e-06,5.313281128576685e-07,4.561991589269125e-07,TWh,Fuel Cell
AC,links,BE,Haber-Bosch0,-1.3130407280593423e-05,-1.2936915256324628e-06,-8.383799923737582e-07,TWh,Ammonia production
AC,links,BE,OCGT1,1.0385841074260003e-06,3.3496785463348317e-07,1.0204973061226522e-07,TWh,Gas
AC,links,BE,battery charger0,-1.0390049966835818e-05,-4.454791426752979e-06,-3.7210723821020656e-06,TWh,
AC,links,BE,battery discharger1,9.351045387487115e-06,4.009312497892359e-06,3.348965423498807e-06,TWh,
AC,links,BE,coal1,1.6894594534857896e-06,4.934527671864788e-07,1.8958602418512418e-07,TWh,Coal/Lignite
AC,links,BE,electricity distribution grid0,-109.4957480595691,-118.68790252961004,-133.72751556967097,TWh,
AC,links,BE,helmeth0,-1.3486168459895461e-06,-8.199532194539785e-07,-5.891946128395824e-07,TWh,Methane production
AC,links,BE,methanolisation2,-2.5835533660804257e-05,-0.00014941459333348312,-8.91542319538509e-06,TWh,Methanol production
AC,links,BE,nuclear (SMR)1,1.807056298572324e-08,7.285713115381836e-09,3.041001666610746e-09,TWh,Nuclear
AC,links,BE,nuclear1,17.581320400411343,16.526838900456866,1.685455399858805e-06,TWh,Nuclear
AC,links,BE,oil1,5.573958613345248e-07,1.33108055256905e-07,3.368044713268263e-08,TWh,Oil
AC,links,BE,residential rural resistive heater0,-0.2276214233834227,,,TWh,Heat
AC,links,BE,residential urban decentral resistive heater0,-0.9077281170663289,,,TWh,Heat
AC,links,BE,services rural resistive heater0,-0.28273832645633973,,,TWh,Heat
AC,links,BE,services urban decentral resistive heater0,-0.4149402656517866,,,TWh,Heat
AC,links,BE,solid biomass1,3.4760388265543496e-07,2.187070919257425e-07,1.4861442558440447e-07,TWh,Solid Biomass
AC,links,BE,urban central gas CHP CC1,2.448267656959351e-06,1.0299465371562467e-06,3.020109025162547e-07,TWh,CHP
AC,links,BE,urban central gas CHP1,3.6388989066737635e-06,1.6558410317461288e-06,6.011717086214749e-07,TWh,CHP
AC,links,BE,urban central resistive heater0,-0.2589062855743398,,,TWh,Heat
AC,links,BE,urban central solid biomass CHP CC1,2.0499629552107434e-07,1.413516482631546e-07,1.1407552727790411e-07,TWh,CHP
AC,links,BE,urban central solid biomass CHP1,2.531983485301792e-07,1.6917358241947903e-07,1.2180915468923251e-07,TWh,CHP
