cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
AC,lines,GR0 0,AC0,-6187684.2987439,-8082184.379570974,4184818.9156066747
AC,lines,GR0 0,AC1,6187684.2987439,8082184.379570974,-4184818.9156066747
AC,lines,HR0 0,AC0,8787199.16925244,3335487.8614324853,-13488594.776495568
AC,lines,HR0 0,AC1,-8787199.16925244,-3335487.8614324853,13488594.776495568
AC,lines,HU0 0,AC0,7394823.52490903,-4616597.932318409,3745982.171491187
AC,lines,HU0 0,AC1,-7394823.52490903,4616597.932318409,-3745982.171491187
AC,lines,IT0 0,AC0,4195492.932934757,-5043236.003586641,6317677.120654577
AC,lines,IT0 0,AC1,-4195492.932934757,5043236.003586641,-6317677.120654577
AC,lines,LT2 0,AC0,-3835939.2028678823,8419484.390686264,13071533.990643024
AC,lines,LT2 0,AC1,3835939.2028678823,-8419484.390686264,-13071533.990643024
AC,lines,ME0 0,AC0,-2251643.1686194027,-3978438.4037768943,-1725228.9541023974
AC,lines,ME0 0,AC1,2251643.1686194027,3978438.4037768943,1725228.9541023974
AC,lines,MK0 0,AC0,-3584181.8810726036,-6997872.473210741,-6401372.65018435
AC,lines,MK0 0,AC1,3584181.8810726036,6997872.473210741,6401372.65018435
AC,lines,NO1 0,AC0,4491070.03852958,4453612.820980687,-1559324.8502109484
AC,lines,NO1 0,AC1,-4491070.03852958,-4453612.820980687,1559324.8502109484
AC,lines,PL0 0,AC0,-2032912.1587589094,834359.990852643,2140738.938454581
AC,lines,PL0 0,AC1,2032912.1587589094,-834359.990852643,-2140738.938454581
AC,lines,RO0 0,AC0,-4021553.131137964,1715284.9015577082,-5726061.843072432
AC,lines,RO0 0,AC1,4021553.131137964,-1715284.9015577082,5726061.843072432
AC,links,AL0 0,H2 Electrolysis0,-3.4621239840905624,-6.21976521639486,-13595378.706777647
AC,links,AL0 0,Haber-Bosch0,-47.89870604598781,-1.829574155223803,-4.227406767883171
AC,links,AL0 0,battery charger0,-10.534695295912192,-5.475179778887185,-6.950536551508931
AC,links,AL0 0,electricity distribution grid0,-4329341.023543355,-2095539.2055455523,415911.6911326946
AC,links,AL0 0,helmeth0,-1.3118993998326802,-0.49731261602724014,-0.407009158878096
AC,links,AL0 0 H2,H2 Fuel Cell1,1.2085366285175048,0.4611783818654233,0.26085305206684184
AC,links,AL0 0 H2,methanolisation2,-35.41320694886484,-145.56247422974363,-271960.72393280594
AC,links,AL0 0 battery,battery discharger1,9.481226183654162,4.927662014813018,6.255483175960217
AC,links,AL0 0 gas,CCGT1,3.06368846242068,1.2894061387675722,0.25695453177385447
AC,links,AL0 0 gas,OCGT1,0.9241195020982723,0.31021270822591424,0.09429099761740499
AC,links,AL0 0 gas,urban central gas CHP CC1,1.9422432426537284,0.7809814720453419,0.2126165495029949
AC,links,AL0 0 gas,urban central gas CHP1,2.974077307038537,1.315546274164746,0.31386726999693737
AC,links,AL0 0 solid biomass,solid biomass1,1.7211567987544831,0.9040470175983504,0.43303269351656865
AC,links,AL0 0 solid biomass,urban central solid biomass CHP CC1,2.5752846072011266,1.1796278956977162,0.9242799166076712
AC,links,AL0 0 solid biomass,urban central solid biomass CHP1,64418.402887766126,85880.67632864905,112849.25916247515
AC,links,AT0 0,H2 Electrolysis0,-2.7798321188335215,-2.7183913380788782,-6.631121276018712
AC,links,AT0 0,Haber-Bosch0,-11.681781942025722,-0.9190304296568756,-0.75481193301927
AC,links,AT0 0,battery charger0,-9.95217129844406,-4.446648203857763,-4.530310328727722
AC,links,AT0 0,electricity distribution grid0,-81306572.27852166,-87783195.01520173,-96205289.75185214
AC,links,AT0 0,helmeth0,-1.2642480079548999,-0.7109307042117259,-0.80399371638746
AC,links,AT0 0,residential rural ground heat pump0,-960761.2404506111,,
AC,links,AT0 0,residential urban decentral air heat pump0,-697144.9093828339,,
AC,links,AT0 0,services rural ground heat pump0,-392102.75933310436,,
AC,links,AT0 0,services urban decentral air heat pump0,-202838.4086185125,,
AC,links,AT0 0,urban central air heat pump0,-910823.1877773425,,
AC,links,AT0 0 H2,H2 Fuel Cell1,1.334972646180357,0.5519005508926131,0.44488403189747044
AC,links,AT0 0 H2,methanolisation2,-22.48235881272144,-32.26160624760387,-13.802417533617074
AC,links,AT0 0 battery,battery discharger1,8.956954585933286,4.001983597286346,4.07727957546033
AC,links,AT0 0 gas,CCGT1,8201145.123521732,7967222.864237023,1203350.2111405437
AC,links,AT0 0 gas,OCGT1,0.9891912393252362,0.3186507154868125,0.1008907378792193
AC,links,AT0 0 gas,urban central gas CHP CC1,2.2644797194497164,1.0747748609281105,0.30404387181102455
AC,links,AT0 0 gas,urban central gas CHP1,3.263966403747095,1.6984274246518083,0.6087534220624261
AC,links,AT0 0 solid biomass,solid biomass1,1.4105433953928634,0.7723470805105979,0.3637630923826337
AC,links,AT0 0 solid biomass,urban central solid biomass CHP CC1,2.4604448788095485,2.1922022968881687,2.0207510589304465
AC,links,AT0 0 solid biomass,urban central solid biomass CHP1,2643073.5650485945,2931991.3486922807,2052223.4977442073
